Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User6,14.95,30.00,2.42,AP0,1800.22,1794.86,0.30,188.45,196.56,385.01
random,User7,14.95,30.00,4.41,AP0,1800.22,1794.86,0.30,188.45,196.56,385.01
random,User8,14.95,30.00,2.22,AP1,1800.22,1794.86,0.30,188.45,196.56,385.01
random,User9,14.95,30.00,8.00,AP2,1800.22,1794.86,0.30,188.45,196.56,385.01
random,User0,14.95,30.00,2.15,AP0,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User1,14.95,30.00,8.45,AP0,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User2,14.95,30.00,2.19,AP2,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User3,14.95,30.00,6.30,AP0,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User4,14.95,30.00,9.87,AP1,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User5,14.95,30.00,2.65,AP0,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User6,14.95,30.00,14.94,AP2,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User7,14.95,30.00,0.68,AP2,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User8,14.95,30.00,3.51,AP2,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User9,14.95,30.00,9.04,AP2,1744.58,1782.46,-2.12,180.80,220.85,401.65
random,User0,14.95,30.00,11.69,AP2,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User1,14.95,30.00,0.85,AP3,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User2,14.95,30.00,7.48,AP0,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User3,14.95,30.00,6.09,AP3,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User4,14.95,30.00,5.09,AP2,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User5,14.95,30.00,5.85,AP0,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User6,14.95,30.00,6.42,AP0,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User7,14.95,30.00,11.47,AP0,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User8,14.95,30.00,14.01,AP0,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User9,14.95,30.00,4.21,AP2,1574.16,1615.03,-2.53,213.94,199.57,413.51
random,User0,14.95,30.00,0.96,AP0,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User1,14.95,30.00,9.69,AP3,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User2,14.95,30.00,1.97,AP1,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User3,14.95,30.00,9.35,AP0,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User4,14.95,30.00,1.92,AP3,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User5,14.95,30.00,5.84,AP3,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User6,14.95,30.00,1.55,AP0,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User7,14.95,30.00,4.91,AP3,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User8,14.95,30.00,5.12,AP1,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User9,14.95,30.00,11.34,AP3,1813.35,1811.04,0.13,168.06,189.84,357.89
random,User0,14.95,30.00,7.42,AP3,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User1,14.95,30.00,14.14,AP0,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User2,14.95,30.00,5.21,AP3,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User3,14.95,30.00,3.43,AP2,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User4,14.95,30.00,7.61,AP0,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User5,14.95,30.00,8.20,AP3,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User6,14.95,30.00,5.50,AP1,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User7,14.95,30.00,7.48,AP2,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User8,14.95,30.00,3.90,AP3,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User9,14.95,30.00,1.25,AP0,1690.53,1685.09,0.32,189.73,211.20,400.93
random,User0,14.95,30.00,9.18,AP2,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User1,14.95,30.00,8.81,AP0,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User2,14.95,30.00,11.24,AP2,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User3,14.95,30.00,1.02,AP1,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User4,14.95,30.00,13.27,AP1,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User5,14.95,30.00,4.57,AP3,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User6,14.95,30.00,4.28,AP1,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User7,14.95,30.00,11.70,AP2,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User8,14.95,30.00,0.39,AP1,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User9,14.95,30.00,5.86,AP1,1739.88,1749.55,-0.55,208.33,197.23,405.56
random,User0,14.95,30.00,2.32,AP0,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User1,14.95,30.00,6.91,AP2,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User2,14.95,30.00,5.97,AP0,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User3,14.95,30.00,2.68,AP2,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User4,14.95,30.00,3.72,AP2,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User5,14.95,30.00,2.96,AP1,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User6,14.95,30.00,12.44,AP3,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User7,14.95,30.00,8.18,AP3,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User8,14.95,30.00,4.02,AP3,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User9,14.95,30.00,9.09,AP0,1665.79,1714.68,-2.85,189.44,221.98,411.42
random,User0,14.95,30.00,7.81,AP0,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User1,14.95,30.00,14.70,AP2,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User2,14.95,30.00,12.95,AP1,1785.05,1806.84,-1.21,201.63,230.73,432.36
