Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,15.00,130.00,16.80,AP0,180.00,156.28,15.18,38.98,27.45,66.43
myargo,User1,15.00,130.00,5.70,AP0,180.00,156.28,15.18,38.98,27.45,66.43
myargo,User0,15.00,130.00,10.50,AP0,180.00,162.58,10.71,20.53,33.41,53.94
myargo,User1,15.00,130.00,5.70,AP0,180.00,162.58,10.71,20.53,33.41,53.94
myargo,User0,15.00,130.00,13.20,AP0,180.00,170.10,5.82,31.96,31.33,63.29
myargo,User1,15.00,130.00,2.40,AP0,180.00,170.10,5.82,31.96,31.33,63.29
myargo,User0,15.00,130.00,18.00,AP0,180.00,140.00,28.57,21.87,23.99,45.86
myargo,User1,15.00,130.00,18.00,AP0,180.00,140.00,28.57,21.87,23.99,45.86
myargo,User0,15.00,130.00,1.80,AP0,180.00,170.10,5.82,29.55,33.05,62.60
myargo,User1,15.00,130.00,14.10,AP0,180.00,170.10,5.82,29.55,33.05,62.60
myargo,User0,15.00,130.00,6.60,AP0,180.00,168.00,7.14,33.26,25.70,58.96
myargo,User1,15.00,130.00,10.20,AP0,180.00,168.00,7.14,33.26,25.70,58.96
myargo,User0,15.00,130.00,18.60,AP0,180.00,156.28,15.18,26.37,20.96,47.33
myargo,User1,15.00,130.00,9.90,AP0,180.00,156.28,15.18,26.37,20.96,47.33
myargo,User0,15.00,130.00,2.40,AP0,180.00,172.08,4.61,21.36,38.87,60.22
myargo,User1,15.00,130.00,6.60,AP0,180.00,172.08,4.61,21.36,38.87,60.22
myargo,User0,15.00,130.00,17.10,AP0,205.71,156.76,31.23,46.37,32.59,78.96
myargo,User1,15.00,130.00,1.50,AP1,205.71,156.76,31.23,46.37,32.59,78.96
myargo,User0,15.00,130.00,3.60,AP0,180.00,172.08,4.61,27.09,41.93,69.02
myargo,User1,15.00,130.00,5.40,AP0,180.00,172.08,4.61,27.09,41.93,69.02
myargo,User0,15.00,130.00,18.00,AP0,180.00,140.00,28.57,24.59,21.84,46.43
