Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,CenterX,CenterY,VarianceX,VarianceY,TotalPositionVariance
random,User1,15.00,90.00,11.70,AP0,159.90,127.28,25.63,12.55,9.46,42.03,44.43,86.46
random,User0,15.00,90.00,12.30,AP1,83.82,127.28,-34.15,8.29,10.07,15.54,59.09,74.63
random,User1,15.00,90.00,2.40,AP0,83.82,127.28,-34.15,8.29,10.07,15.54,59.09,74.63
random,User0,15.00,90.00,0.00,AP0,82.88,127.28,-34.89,10.40,9.20,68.24,38.96,107.20
random,User1,15.00,90.00,6.00,AP1,82.88,127.28,-34.89,10.40,9.20,68.24,38.96,107.20
random,User0,15.00,90.00,3.90,AP0,146.27,127.28,14.92,11.07,10.12,29.12,51.54,80.66
random,User1,15.00,90.00,7.50,AP0,146.27,127.28,14.92,11.07,10.12,29.12,51.54,80.66
random,User0,15.00,90.00,5.70,AP0,127.28,127.28,0.00,11.27,10.17,96.78,32.20,128.99
random,User1,15.00,90.00,4.80,AP0,127.28,127.28,0.00,11.27,10.17,96.78,32.20,128.99
random,User0,15.00,90.00,13.80,AP0,167.90,127.28,31.91,8.81,12.54,31.94,38.77,70.70
random,User1,15.00,90.00,0.60,AP0,167.90,127.28,31.91,8.81,12.54,31.94,38.77,70.70
random,User0,15.00,90.00,3.90,AP0,127.28,127.28,0.00,11.30,11.76,80.11,85.13,165.24
random,User1,15.00,90.00,4.50,AP0,127.28,127.28,0.00,11.30,11.76,80.11,85.13,165.24
random,User0,15.00,90.00,0.60,AP0,127.28,127.28,0.00,10.52,10.40,71.80,68.24,140.04
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.52,10.40,71.80,68.24,140.04
random,User0,15.00,90.00,1.50,AP0,103.87,127.28,-18.40,10.10,11.24,59.84,95.59,155.43
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,10.10,11.24,59.84,95.59,155.43
random,User0,15.00,90.00,10.20,AP0,173.43,127.28,36.25,10.33,12.24,19.43,54.37,73.79
random,User1,15.00,90.00,6.60,AP0,173.43,127.28,36.25,10.33,12.24,19.43,54.37,73.79
random,User0,15.00,90.00,6.00,AP0,127.28,127.28,0.00,11.97,11.45,76.17,55.08,131.25
random,User1,15.00,90.00,4.20,AP0,127.28,127.28,0.00,11.97,11.45,76.17,55.08,131.25
random,User0,15.00,90.00,1.20,AP0,82.88,127.28,-34.89,10.16,8.54,61.46,27.77,89.23
random,User1,15.00,90.00,9.30,AP1,82.88,127.28,-34.89,10.16,8.54,61.46,27.77,89.23
random,User0,15.00,90.00,4.20,AP0,127.28,127.28,0.00,9.85,10.09,41.40,59.63,101.03
random,User1,15.00,90.00,2.10,AP0,127.28,127.28,0.00,9.85,10.09,41.40,59.63,101.03
random,User0,15.00,90.00,4.20,AP0,127.28,127.28,0.00,12.18,9.15,78.01,38.07,116.08
random,User1,15.00,90.00,7.80,AP0,127.28,127.28,0.00,12.18,9.15,78.01,38.07,116.08
random,User0,15.00,90.00,4.50,AP0,127.28,127.28,0.00,11.22,10.58,95.01,56.24,151.25
random,User1,15.00,90.00,0.90,AP0,127.28,127.28,0.00,11.22,10.58,95.01,56.24,151.25
random,User0,15.00,90.00,8.70,AP0,143.78,127.28,12.96,9.86,12.89,53.52,69.36,122.89
random,User1,15.00,90.00,4.20,AP0,143.78,127.28,12.96,9.86,12.89,53.52,69.36,122.89
random,User0,15.00,90.00,9.00,AP0,103.87,127.28,-18.40,11.31,12.79,98.19,70.34,168.53
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.31,12.79,98.19,70.34,168.53
random,User0,15.00,90.00,10.80,AP0,146.27,127.28,14.92,12.42,13.03,68.36,58.43,126.79
random,User1,15.00,90.00,7.20,AP0,146.27,127.28,14.92,12.42,13.03,68.36,58.43,126.79
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.59,10.84,64.41,81.87,146.29
random,User1,15.00,90.00,2.40,AP0,127.28,127.28,0.00,10.59,10.84,64.41,81.87,146.29
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.49,9.92,90.30,55.13,145.43
random,User1,15.00,90.00,2.70,AP0,103.87,127.28,-18.40,11.49,9.92,90.30,55.13,145.43
random,User0,15.00,90.00,10.50,AP0,159.90,127.28,25.63,8.80,11.64,31.74,44.24,75.98
random,User1,15.00,90.00,0.60,AP0,159.90,127.28,25.63,8.80,11.64,31.74,44.24,75.98
random,User0,15.00,90.00,4.20,AP0,127.28,127.28,0.00,9.56,10.40,46.53,68.24,114.77
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00,9.56,10.40,46.53,68.24,114.77
random,User0,15.00,90.00,8.40,AP0,127.28,127.28,0.00,11.28,11.83,97.07,46.67,143.74
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00,11.28,11.83,97.07,46.67,143.74
random,User0,15.00,90.00,8.10,AP1,137.77,127.28,8.24,9.98,8.46,16.09,26.69,42.79
random,User1,15.00,90.00,11.40,AP0,137.77,127.28,8.24,9.98,8.46,16.09,26.69,42.79
random,User0,15.00,90.00,0.90,AP0,146.27,127.28,14.92,11.49,10.77,43.62,79.44,123.07
random,User1,15.00,90.00,6.60,AP0,146.27,127.28,14.92,11.49,10.77,43.62,79.44,123.07
random,User0,15.00,90.00,9.60,AP0,159.90,127.28,25.63,9.65,12.17,48.67,43.96,92.63
random,User1,15.00,90.00,0.00,AP0,159.90,127.28,25.63,9.65,12.17,48.67,43.96,92.63
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.66,11.26,63.04,96.33,159.38
random,User1,15.00,90.00,4.50,AP0,127.28,127.28,0.00,10.66,11.26,63.04,96.33,159.38
random,User0,15.00,90.00,11.10,AP0,173.43,127.28,36.25,10.84,10.21,8.75,25.00,33.76
random,User1,15.00,90.00,13.50,AP0,173.43,127.28,36.25,10.84,10.21,8.75,25.00,33.76
random,User0,15.00,90.00,6.30,AP0,127.28,127.28,0.00,11.27,11.56,96.52,59.35,155.87
random,User1,15.00,90.00,1.20,AP0,127.28,127.28,0.00,11.27,11.56,96.52,59.35,155.87
random,User0,15.00,90.00,11.40,AP0,159.90,127.28,25.63,9.28,12.32,39.93,41.30,81.23
random,User1,15.00,90.00,0.30,AP0,159.90,127.28,25.63,9.28,12.32,39.93,41.30,81.23
random,User0,15.00,90.00,12.30,AP0,146.27,127.28,14.92,10.99,12.31,86.73,30.58,117.30
random,User1,15.00,90.00,2.40,AP0,146.27,127.28,14.92,10.99,12.31,86.73,30.58,117.30
random,User0,15.00,90.00,12.00,AP1,43.20,127.28,-66.06,8.01,11.50,21.35,89.96,111.30
random,User1,15.00,90.00,4.20,AP0,43.20,127.28,-66.06,8.01,11.50,21.35,89.96,111.30
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,13.38,11.34,65.79,99.28,165.07
random,User1,15.00,90.00,11.70,AP0,103.87,127.28,-18.40,13.38,11.34,65.79,99.28,165.07
random,User0,15.00,90.00,13.50,AP0,167.90,127.28,31.91,8.87,12.62,32.89,41.77,74.66
random,User1,15.00,90.00,0.00,AP0,167.90,127.28,31.91,8.87,12.62,32.89,41.77,74.66
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,11.65,11.23,48.48,95.17,143.65
random,User1,15.00,90.00,7.50,AP0,127.28,127.28,0.00,11.65,11.23,48.48,95.17,143.65
random,User0,15.00,90.00,0.00,AP0,83.82,127.28,-34.15,11.60,7.85,49.08,19.76,68.84
random,User1,15.00,90.00,14.10,AP1,83.82,127.28,-34.15,11.60,7.85,49.08,19.76,68.84
random,User0,15.00,90.00,2.40,AP0,127.28,127.28,0.00,11.13,10.66,75.67,65.95,141.62
random,User1,15.00,90.00,1.50,AP0,127.28,127.28,0.00,11.13,10.66,75.67,65.95,141.62
random,User0,15.00,90.00,4.20,AP0,127.28,127.28,0.00,11.65,9.27,87.09,40.38,127.47
random,User1,15.00,90.00,6.00,AP0,127.28,127.28,0.00,11.65,9.27,87.09,40.38,127.47
random,User0,15.00,90.00,7.80,AP1,82.88,127.28,-34.89,8.85,10.60,32.63,64.29,96.92
random,User1,15.00,90.00,0.00,AP0,82.88,127.28,-34.89,8.85,10.60,32.63,64.29,96.92
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.36,10.61,93.02,74.54,167.56
random,User1,15.00,90.00,1.20,AP0,103.87,127.28,-18.40,11.36,10.61,93.02,74.54,167.56
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.48,10.81,90.32,80.98,171.30
random,User1,15.00,90.00,2.40,AP0,103.87,127.28,-18.40,11.48,10.81,90.32,80.98,171.30
random,User0,15.00,90.00,3.30,AP0,127.28,127.28,0.00,10.38,11.27,39.84,96.59,136.43
random,User1,15.00,90.00,5.40,AP0,127.28,127.28,0.00,10.38,11.27,39.84,96.59,136.43
random,User0,15.00,90.00,14.10,AP1,116.76,127.28,-8.27,10.36,11.14,6.06,57.82,63.88
random,User1,15.00,90.00,13.50,AP0,116.76,127.28,-8.27,10.36,11.14,6.06,57.82,63.88
random,User0,15.00,90.00,2.40,AP0,82.88,127.28,-34.89,10.88,8.24,83.18,23.83,107.01
random,User1,15.00,90.00,10.80,AP1,82.88,127.28,-34.89,10.88,8.24,83.18,23.83,107.01
random,User0,15.00,90.00,2.70,AP0,127.28,127.28,0.00,12.56,11.32,60.24,98.36,158.60
random,User1,15.00,90.00,9.30,AP0,127.28,127.28,0.00,12.56,11.32,60.24,98.36,158.60
random,User0,15.00,90.00,12.90,AP1,83.82,127.28,-34.15,7.83,9.72,19.57,43.52,63.10
random,User1,15.00,90.00,4.20,AP0,83.82,127.28,-34.15,7.83,9.72,19.57,43.52,63.10
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,11.06,11.26,56.30,96.21,152.52
random,User1,15.00,90.00,5.40,AP0,127.28,127.28,0.00,11.06,11.26,56.30,96.21,152.52
random,User0,15.00,90.00,0.30,AP0,127.28,127.28,0.00,10.46,9.50,70.01,45.20,115.21
random,User1,15.00,90.00,4.50,AP0,127.28,127.28,0.00,10.46,9.50,70.01,45.20,115.21
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.24,10.40,95.59,68.24,163.83
random,User1,15.00,90.00,0.00,AP0,103.87,127.28,-18.40,11.24,10.40,95.59,68.24,163.83
random,User0,15.00,90.00,5.70,AP1,81.65,127.28,-35.85,9.26,10.76,40.15,79.27,119.42
random,User1,15.00,90.00,1.80,AP0,81.65,127.28,-35.85,9.26,10.76,40.15,79.27,119.42
random,User0,15.00,90.00,0.60,AP0,127.28,127.28,0.00,10.28,10.22,64.79,63.11,127.91
random,User1,15.00,90.00,0.90,AP0,127.28,127.28,0.00,10.28,10.22,64.79,63.11,127.91
random,User0,15.00,90.00,5.70,AP1,42.62,127.28,-66.52,9.26,11.24,40.15,95.59,135.74
random,User1,15.00,90.00,4.20,AP0,42.62,127.28,-66.52,9.26,11.24,40.15,95.59,135.74
random,User0,15.00,90.00,4.20,AP0,146.27,127.28,14.92,9.82,9.35,41.79,42.04,83.83
random,User1,15.00,90.00,5.40,AP0,146.27,127.28,14.92,9.82,9.35,41.79,42.04,83.83
random,User0,15.00,90.00,9.00,AP0,143.78,127.28,12.96,9.85,12.95,53.27,68.83,122.09
random,User1,15.00,90.00,4.20,AP0,143.78,127.28,12.96,9.85,12.95,53.27,68.83,122.09
random,User0,15.00,90.00,5.70,AP0,146.27,127.28,14.92,12.00,10.50,82.67,39.27,121.94
random,User1,15.00,90.00,4.80,AP0,146.27,127.28,14.92,12.00,10.50,82.67,39.27,121.94
random,User0,15.00,90.00,4.50,AP0,146.27,127.28,14.92,12.41,9.43,75.84,34.03,109.87
random,User1,15.00,90.00,8.40,AP0,146.27,127.28,14.92,12.41,9.43,75.84,34.03,109.87
